MYPIC,2025-02-22,20:44:45
mypic,21:45:00
mypic,21:45:01
mypic,21:45:02
mypic,21:45:02
mypic,21:45:03
mypic,21:45:04
mypic,21:45:05
mypic,21:45:06
mypic,21:45:07
mypic,21:45:08
mypic,21:45:09
mypic,21:45:10
mypic,21:45:11
mypic,21:45:12
mypic,21:45:13
mypic,21:45:14
mypic,21:45:15
mypic,21:45:15
mypic,21:45:16
mypic,21:45:17
mypic,21:45:18
mypic,21:45:19
mypic,21:45:20
mypic,21:45:21
mypic,21:45:21
mypic,21:45:22
mypic,21:45:23
mypic,21:45:24
mypic,21:45:25
mypic,21:45:26
mypic,21:45:27
